dataset,scene,random_x0.5_ate,random_x0.5_rpe_trans,random_x0.5_rpe_rot,stability_brake_t1_ate,stability_brake_t1_rpe_trans,stability_brake_t1_rpe_rot,ate_abs_improve,ate_rel_improve_pct,is_improved
tum_s1_1000,rgbd_dataset_freiburg3_sitting_halfsphere,0.12374,0.01873,0.97104,0.07622,0.03958,3.31302,0.04752000000000001,38.40310328076287,True
tum_s1_1000,rgbd_dataset_freiburg3_walking_xyz,0.10744,0.01307,0.40586,0.076,0.01199,0.39027,0.031439999999999996,29.262844377985264,True
tum_s1_1000,rgbd_dataset_freiburg3_walking_halfsphere,0.1099,0.01688,0.53068,0.08611,0.01845,0.62761,0.02378999999999999,21.646951774143332,True
tum_s1_1000,rgbd_dataset_freiburg3_sitting_static,0.02511,0.00373,0.14568,0.0224,0.00443,0.14433,0.0027100000000000006,10.792512942620771,True
tum_s1_1000,rgbd_dataset_freiburg3_walking_rpy,0.14272,0.01321,0.57231,0.12898,0.01642,1.63011,0.013740000000000002,9.627242152398912,True
tum_s1_1000,rgbd_dataset_freiburg3_sitting_xyz,0.04745,0.00832,0.26947,0.04314,0.00819,0.26775,0.004310000000000001,9.083245521410262,True
tum_s1_1000,rgbd_dataset_freiburg3_sitting_rpy,0.05704,0.00474,0.53116,0.05509,0.00579,0.57644,0.0019500000000000003,3.418653576377654,True
tum_s1_1000,rgbd_dataset_freiburg3_walking_static,0.01861,0.00175,0.16781,0.01917,0.00209,0.16451,-0.000559999999999998,-3.009134873562099,False
