update_type,frame_idx,delta_norm,delta_cosine
cut3r,0,0.0,nan
cut3r,1,686.0762939453125,-0.13624282560197704
cut3r,2,276.72467041015625,0.24399299464459134
cut3r,3,185.1653289794922,0.25224047168251557
cut3r,4,161.34463500976562,0.1992628413683999
cut3r,5,151.322265625,-0.030222557043151976
cut3r,6,408.15179443359375,0.3456993710369979
cut3r,7,252.85472106933594,0.4927623446451352
cut3r,8,210.06968688964844,0.5392311213574476
cut3r,9,170.24407958984375,0.5743462169330685
cut3r,10,156.70069885253906,-0.25674984507423293
cut3r,11,434.35894775390625,0.18910596539662042
cut3r,12,275.4032897949219,0.3282185037703913
cut3r,13,198.57627868652344,0.20432769565215997
cut3r,14,184.1707763671875,0.13432287318616726
cut3r,15,182.39273071289062,-0.15908049322458662
cut3r,16,402.35333251953125,0.31892088086285275
cut3r,17,241.84359741210938,0.4888480303182392
cut3r,18,183.75955200195312,0.4837160498969309
cut3r,19,161.02000427246094,0.5354159972894967
cut3r,20,145.45782470703125,-0.23511179093980997
cut3r,21,442.5321960449219,0.1608351504642788
cut3r,22,284.328125,0.1352882513556572
cut3r,23,247.54351806640625,nan
ttt3r,0,0.0,nan
ttt3r,1,686.0762939453125,-0.1415790371912365
ttt3r,2,133.68008422851562,0.7411478772452235
ttt3r,3,100.66779327392578,0.5725107252330129
ttt3r,4,99.50724029541016,0.5262370460957557
ttt3r,5,94.5665512084961,-0.04570575361200315
ttt3r,6,131.94363403320312,0.9269850399762518
ttt3r,7,107.9093017578125,0.8869415278246199
ttt3r,8,94.8283920288086,0.8877596569687749
ttt3r,9,85.4871597290039,0.8939663645174831
ttt3r,10,78.06551361083984,-0.39747826059602936
ttt3r,11,163.04690551757812,0.655710999684547
ttt3r,12,126.49040985107422,0.5916656214788563
ttt3r,13,98.55035400390625,0.5049225284842279
ttt3r,14,88.3727035522461,0.4190507676289557
ttt3r,15,95.9561996459961,-0.32645681455381337
ttt3r,16,117.80438232421875,0.900052547165002
ttt3r,17,97.24156188964844,0.8545788622838667
ttt3r,18,85.72803497314453,0.8973963640443893
ttt3r,19,76.34400177001953,0.8696803820203076
ttt3r,20,69.99249267578125,-0.4302715135394013
ttt3r,21,163.46400451660156,0.5341133766957002
ttt3r,22,131.30709838867188,0.49681906769511336
ttt3r,23,117.92404174804688,nan
