dataset,scene,random_x0.5_ate,random_x0.5_rpe_trans,random_x0.5_rpe_rot,brake_geo_ate,brake_geo_rpe_trans,brake_geo_rpe_rot,ate_abs_improve,ate_rel_improve_pct,is_improved
tum_s1_1000,rgbd_dataset_freiburg3_walking_xyz,0.10744,0.01307,0.40586,0.05419,0.01173,0.38303,0.05324999999999999,49.562546537141074,True
tum_s1_1000,rgbd_dataset_freiburg3_sitting_static,0.02511,0.00373,0.14568,0.01653,0.00441,0.1427,0.00858,34.16965352313144,True
tum_s1_1000,rgbd_dataset_freiburg3_walking_halfsphere,0.1099,0.01688,0.53068,0.08059,0.02107,0.87108,0.029310000000000003,26.669699726781896,True
tum_s1_1000,rgbd_dataset_freiburg3_sitting_xyz,0.04745,0.00832,0.26947,0.03919,0.00831,0.26822,0.008259999999999997,17.407797681403412,True
tum_s1_1000,rgbd_dataset_freiburg3_sitting_rpy,0.05704,0.00474,0.53116,0.05554,0.00897,0.83721,0.0015000000000000013,2.629733520290505,True
tum_s1_1000,rgbd_dataset_freiburg3_walking_static,0.01861,0.00175,0.16781,0.02007,0.00281,0.16168,-0.0014599999999999995,-7.845244491786926,False
tum_s1_1000,rgbd_dataset_freiburg3_walking_rpy,0.14272,0.01321,0.57231,0.15629,0.01714,2.59287,-0.013569999999999999,-9.50812780262396,False
tum_s1_1000,rgbd_dataset_freiburg3_sitting_halfsphere,0.12374,0.01873,0.97104,0.22562,0.05284,4.21064,-0.10187999999999998,-82.33392597315067,False
