config,tau,num_scenes,median_ate,mean_ate,median_rpe_trans,median_rpe_rot
ttt3r_momentum_inv_t1,1.0,16,0.06554499999999999,0.06338875,0.01009,0.483355
ttt3r_momentum_inv_t2,2.0,16,0.05592,0.08218500000000001,0.0111,0.660845
